ds	dd	Month	Month1	Year	mn	oat	fkf	pl	aa	tot	DS tot	ow	DS ow	rs	DS rs	dt	DS dt	ftp	DS ftp	cc	DS cc	to	DS to
day	2022-3-1	3	0	2022	3/2022	Plant	#1	Black sea	0	25	0	105	0	65	0	195	0	8	0	194	0	389	0
day	2022-3-2	3	0	2022	3/2022	Plant	#1	Black sea	0	17	0	178	0	94	0	289	0	12	0	42	0	331	0
day	2022-3-3	3	0	2022	3/2022	Plant	#1	Black sea	0	148	0	48	0	58	0	254	0	11	0	10	0	264	0
day	2022-3-4	3	0	2022	3/2022	Plant	#1	Black sea	0	112	0	178	0	0	0	290	0	12	0	105	0	395	0
day	2022-3-5	3	0	2022	3/2022	Plant	#1	Black sea	0	22	0	191	0	115	0	328	0	14	0	56	0	384	0
day	2022-3-7	3	0	2022	3/2022	Plant	#1	Black sea	0	129	0	138	0	197	0	464	0	20	0	170	0	634	0
day	2022-3-8	3	0	2022	3/2022	Plant	#1	Black sea	0	9	0	74	0	200	0	283	0	12	0	71	0	354	0
day	2022-3-9	3	0	2022	3/2022	Plant	#1	Black sea	0	86	0	109	0	37	0	232	0	10	0	27	0	259	0
day	2022-3-10	3	0	2022	3/2022	Plant	#1	Black sea	0	17	0	72	0	184	0	273	0	11	0	175	0	448	0
day	2022-3-11	3	0	2022	3/2022	Plant	#1	Black sea	0	146	0	184	0	184	0	514	0	22	0	108	0	622	0
day	2022-3-12	3	0	2022	3/2022	Plant	#1	Black sea	0	17	0	95	0	125	0	237	0	10	0	106	0	343	0
day	2022-3-14	3	0	2022	3/2022	Plant	#1	Black sea	0	117	0	16	0	182	0	315	0	13	0	161	0	476	0
day	2022-3-15	3	0	2022	3/2022	Plant	#1	Black sea	0	141	0	186	0	149	0	476	0	20	0	134	0	610	0
day	2022-3-16	3	0	2022	3/2022	Plant	#1	Black sea	0	181	0	162	0	160	0	503	0	21	0	91	0	594	0
day	2022-3-17	3	0	2022	3/2022	Plant	#1	Black sea	0	186	0	128	0	101	0	415	0	18	0	49	0	464	0
day	2022-3-18	3	0	2022	3/2022	Plant	#1	Black sea	0	0	0	107	0	157	0	264	0	11	0	92	0	356	0
day	2022-3-19	3	0	2022	3/2022	Plant	#1	Black sea	0	52	0	174	0	67	0	293	0	12	0	185	0	478	0
day	2022-3-21	3	0	2022	3/2022	Plant	#1	Black sea	0	176	0	103	0	26	0	305	0	13	0	166	0	471	0
day	2022-3-22	3	0	2022	3/2022	Plant	#1	Black sea	0	66	0	76	0	67	0	209	0	9	0	177	0	386	0
day	2022-3-23	3	0	2022	3/2022	Plant	#1	Black sea	0	195	0	152	0	119	0	466	0	20	0	145	0	611	0
day	2022-3-24	3	0	2022	3/2022	Plant	#1	Black sea	0	120	0	189	0	11	0	320	0	13	0	181	0	501	0
day	2022-3-25	3	0	2022	3/2022	Plant	#1	Black sea	0	167	0	24	0	102	0	293	0	12	0	191	0	484	0
day	2022-3-26	3	0	2022	3/2022	Plant	#1	Black sea	0	25	0	35	0	58	0	118	0	5	0	30	0	148	0
day	2022-3-28	3	0	2022	3/2022	Plant	#1	Black sea	0	175	0	130	0	163	0	468	0	20	0	121	0	589	0
day	2022-3-29	3	0	2022	3/2022	Plant	#1	Black sea	0	122	0	178	0	18	0	318	0	13	0	36	0	354	0
day	2022-3-30	3	0	2022	3/2022	Plant	#1	Black sea	0	66	0	16	0	71	0	153	0	6	0	27	0	180	0
